"id","nombre","idprovincia"
"213","Cura Malal","1"
"214","Curaru","1"
"215","Daireaux","1"
"216","Darregueira","1"
"217","De Bary","1"
"218","De La Canal","1"
"219","De La Garma","1"
"220","Del Carril","1"
"221","Del Valle","1"
"222","Del Viso","1"
"223","Del Viso","1"
"224","Delfin Huergo","1"
"225","Desvio Aguirre","1"
"226","Diego Gaynor","1"
"227","Dique Lujan","1"
"228","Dique N 1","1"
"229","Dock Sud","1"
"230","Dolores","1"
"231","Domselaar","1"
"232","Don Bosco","1"
"233","Don Orione","1"
"234","Don Torcuato Este","1"
"235","Don Torcuato Oeste","1"
"236","D'Orbigny","1"
"237","Dudignac","1"
"238","Dufaur","1"
"239","Duggan","1"
"240","Dunamar","1"
"241","El Arbolito","1"
"242","El Cazador","1"
"243","El Divisorio","1"
"244","El Dorado","1"
"245","El Jag�oEL","1"
"246","El Libertador","1"
"247","El Marquesado","1"
"248","El Palomar","1"
"249","El Paraiso","1"
"250","El Pato","1"
"251","El Pensamiento","1"
"252","El Perdido (Est. Jose A. Guisasola)","1"
"253","El Remanso","1"
"254","El Retiro","1"
"255","El Talar","1"
"256","El Trigo","1"
"257","El Triunfo","1"
"258","Elvira","1"
"259","Emilio Ayarza","1"
"260","Emilio V. Bunge","1"
"261","Ensenada","1"
"262","Erezcano","1"
"263","Ernestina","1"
"264","Escalada","1"
"265","Escobar","1"
"266","Espartillar","1"
"267","Espartillar","1"
"268","Espigas","1"
"269","Estacion Arenales","1"
"270","Estacion Camet","1"
"271","Estacion Chapadmalal","1"
"272","Estanislao Severo Zeballos","1"
"273","Esteban Agustin Gascon","1"
"274","Esteban Echeverria","1"
"275","Estela","1"
"276","Ezpeleta","1"
"277","Ezpeleta Oeste","1"
"278","Faro","1"
"279","Fatima","1"
"280","Felipe Sola","1"
"281","Ferre","1"
"282","Florencio Varela","1"
"283","Florentino Ameghino","1"
"284","Florida","1"
"285","Florida Oeste","1"
"286","Fontezuela","1"
"287","Fortin Acha","1"
"288","Fortin Olavarria","1"
"289","Fortin Tiburcio","1"
"290","Francisco Alvarez","1"
"291","Francisco Madero","1"
"292","Franklin","1"
"293","Frente Mar","1"
"294","Gahan","1"
"295","Gardey","1"
"296","Garin","1"
"297","Garre","1"
"298","General Alvear","1"
"299","General Arenales","1"
"300","General Belgrano","1"
"301","General Conesa","1"
"302","General Daniel Cerri (Est. General Cerri)","1"
"303","General Guido","1"
"304","General Hornos","1"
"305","General Juan Madariaga","1"
"306","General La Madrid","1"
"307","General Las Heras (Est. Las Heras)","1"
"308","General Lavalle","1"
"309","General Mansilla (Est. Bartolome Bavio)","1"
"310","General O'Brien","1"
"311","General Pacheco","1"
"312","General Pinto","1"
"313","General Piran","1"
"314","General Rivas","1"
"315","General Rodriguez","1"
"316","General Rojo","1"
"317","General San Martin","1"
"318","General Villegas (Est. Villegas)","1"
"319","Gerli","1"
"320","Gerli","1"
"321","Germania (Est. Mayor Jose Orellano)","1"
"322","Girodias","1"
"323","Glew","1"
"324","Gobernador Castro","1"
"325","Gobernador Julio A. Costa","1"
"326","Gobernador Udaondo","1"
"327","Gobernador Ugarte","1"
"328","Gomez","1"
"329","Gonzalez Catan","1"
"330","Gonzalez Moreno","1"
"331","Gorchs","1"
"332","Gorostiaga","1"
"333","Gowland","1"
"334","Goyena","1"
"335","Grand Bourg","1"
"336","Gregorio De Laferrere","1"
"337","Gr�oNBEIN","1"
"338","Guamini","1"
"339","Guernica","1"
"340","Guerrico","1"
"341","Guillermo Enrique Hudson","1"
"342","Haedo","1"
"343","Hale","1"
"344","Henderson","1"
"345","Herrera Vegas","1"
"346","Hilario Ascasubi","1"
"347","Hinojo","1"
"348","Hortensia","1"
"349","Huanguelen","1"
"350","Hurlingham","1"
"351","Ignacio Correas","1"
"352","Indio Rico","1"
"353","Ines Indart","1"
"354","Ingeniero Adolfo Sourdeaux","1"
